Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,13275.000000,13275.000000,13150.000000,13225.000000,12520.961914,5860500
2015-01-05,13150.000000,13200.000000,13125.000000,13200.000000,12497.292969,5086900
2015-01-06,13000.000000,13200.000000,13000.000000,13100.000000,12402.616211,9736300
2015-01-07,13050.000000,13200.000000,13050.000000,13125.000000,12426.286133,8066800
2015-01-08,13125.000000,13150.000000,12975.000000,12975.000000,12284.270508,10891400
2015-01-09,13025.000000,13075.000000,12925.000000,12925.000000,12236.934570,21791500
2015-01-12,12925.000000,13000.000000,12800.000000,13000.000000,12307.939453,16330200
2015-01-13,13050.000000,13050.000000,12975.000000,13000.000000,12307.939453,7204800
2015-01-14,13025.000000,13025.000000,12925.000000,12925.000000,12236.934570,5945600
2015-01-15,12950.000000,13050.000000,12950.000000,12950.000000,12260.602539,5516100
2015-01-16,13025.000000,13025.000000,12950.000000,12950.000000,12260.602539,9270900
2015-01-19,12975.000000,13025.000000,12975.000000,13000.000000,12307.939453,5226900
2015-01-20,12975.000000,13050.000000,12925.000000,13025.000000,12331.608398,7257100
2015-01-21,13050.000000,13200.000000,13025.000000,13075.000000,12378.946289,14651600
2015-01-22,13050.000000,13225.000000,13050.000000,13200.000000,12497.292969,11730800
2015-01-23,13225.000000,13400.000000,13225.000000,13325.000000,12615.638672,24202200
2015-01-26,13325.000000,13400.000000,13025.000000,13150.000000,12449.955078,20617800
2015-01-27,13150.000000,13225.000000,13125.000000,13200.000000,12497.292969,9997700
2015-01-28,13175.000000,13325.000000,13150.000000,13275.000000,12568.300781,9646000
2015-01-29,13250.000000,13325.000000,13200.000000,13325.000000,12615.638672,8319900
2015-01-30,13400.000000,13425.000000,13325.000000,13375.000000,12662.976563,18828500
2015-02-02,13350.000000,13375.000000,13250.000000,13350.000000,12639.306641,7763300
2015-02-03,13375.000000,13500.000000,13350.000000,13500.000000,12781.322266,13409300
2015-02-04,13525.000000,14000.000000,13475.000000,13900.000000,13160.028320,27261200
2015-02-05,13900.000000,13925.000000,13375.000000,13700.000000,12970.674805,16784700
2015-02-06,13775.000000,13800.000000,13650.000000,13700.000000,12970.674805,10812100
2015-02-09,13500.000000,13900.000000,13500.000000,13800.000000,13065.353516,13721800
2015-02-10,13875.000000,13900.000000,13650.000000,13750.000000,13018.013672,10108100
2015-02-11,13775.000000,13925.000000,13700.000000,13925.000000,13183.698242,9294300
2015-02-12,13925.000000,13950.000000,13850.000000,13900.000000,13160.028320,11691100
2015-02-13,14000.000000,14250.000000,13975.000000,14025.000000,13278.372070,18130700
2015-02-16,14050.000000,14175.000000,14000.000000,14000.000000,13254.706055,6100200
2015-02-17,14000.000000,14125.000000,14000.000000,14075.000000,13325.712891,9589000
2015-02-18,14200.000000,14550.000000,14000.000000,14075.000000,13325.712891,11556400
2015-02-20,14300.000000,14325.000000,14050.000000,14050.000000,13302.041992,5032400
2015-02-23,14075.000000,14225.000000,13975.000000,14025.000000,13278.372070,11174300
2015-02-24,14050.000000,14075.000000,13925.000000,14050.000000,13302.041992,9296400
2015-02-25,14000.000000,14175.000000,14000.000000,14100.000000,13349.380859,7914600
2015-02-26,13975.000000,14175.000000,13975.000000,14075.000000,13325.712891,12680100
2015-02-27,14000.000000,14150.000000,14000.000000,14100.000000,13349.380859,18251500
2015-03-02,14150.000000,14300.000000,14100.000000,14225.000000,13467.726563,21156700
2015-03-03,14350.000000,14575.000000,14325.000000,14400.000000,13633.411133,20033200
2015-03-04,14500.000000,14575.000000,14375.000000,14425.000000,13657.079102,12264300
2015-03-05,14500.000000,14650.000000,14475.000000,14500.000000,13728.086914,12669500
